thumbDist, fingerDist, time
0.1303695,0.1551168,2.450312
0.1303695,0.1551168,2.456572
0.1303695,0.1551168,2.484567
0.1349216,0.1618569,2.501145
0.1369047,0.1627052,2.518129
0.1369047,0.1627052,2.534401
0.1369047,0.1627052,2.550709
0.1465853,0.1649551,2.567716
0.1481593,0.1600401,2.584433
0.1481593,0.1600401,2.60097
0.1481593,0.1600401,2.616977
0.1422117,0.1645704,2.633555
0.1422117,0.1645704,2.650413
0.1403531,0.1646815,2.666663
0.1403531,0.1646815,2.683231
0.1474157,0.1601786,2.69984
0.1474157,0.1601786,2.716381
0.1466016,0.1609983,2.733385
0.1466016,0.1609983,2.749533
0.1477891,0.1584917,2.766145
0.1477891,0.1584917,2.782696
0.150655,0.163114,2.799291
0.150655,0.163114,2.815881
0.149179,0.1620839,2.832345
0.149179,0.1620839,2.848987
0.1497863,0.1587192,2.865484
0.1745283,0.1760133,2.882422
0.1481525,0.1622895,2.899497
0.1481525,0.1622895,2.915168
0.1486119,0.1620615,2.931804
0.1486119,0.1620615,2.948462
0.1506934,0.163392,2.965006
0.1506934,0.163392,2.981432
0.1578762,0.1600231,2.998411
0.1578762,0.1600231,3.014579
0.1503924,0.1669804,3.031132
0.1503924,0.1669804,3.047749
0.1491968,0.1612569,3.064483
0.1491968,0.1612569,3.081412
0.1437056,0.1621631,3.098422
0.1437056,0.1621631,3.11456
0.1413584,0.1552734,3.13144
0.1413584,0.1552734,3.147119
0.1372152,0.1534289,3.164358
0.1372152,0.1534289,3.180269
0.1291941,0.1439966,3.196802
0.1291941,0.1439966,3.213542
0.1208565,0.1423753,3.23033
0.1208565,0.1423753,3.246526
0.143209,0.151513,3.263139
0.143209,0.151513,3.279757
0.1446107,0.1577743,3.296201
0.1446107,0.1577743,3.313293
0.1358467,0.1522779,3.329821
0.1358467,0.1522779,3.346552
0.1418052,0.1548625,3.362465
0.1418052,0.1548625,3.379325
0.134907,0.1559973,3.395978
0.134907,0.1559973,3.41245
0.1417859,0.1529048,3.429595
0.1417859,0.1529048,3.445307
0.1420856,0.1551439,3.462646
0.1420856,0.1551439,3.478474
0.1406669,0.150648,3.495471
0.1406669,0.150648,3.511593
0.1361427,0.1488583,3.528138
0.1361427,0.1488583,3.544857
0.1428229,0.1396659,3.561703
0.1428229,0.1396659,3.578287
0.1363602,0.1289413,3.59529
0.1363602,0.1289413,3.611033
0.1301668,0.1136713,3.627751
0.1301668,0.1136713,3.644397
0.1141803,0.09429596,3.660701
0.1141803,0.09429596,3.677254
0.08237503,0.1084021,3.693809
0.08237503,0.1084021,3.711029
0.07630295,0.1078629,3.727598
0.07630295,0.1078629,3.744187
0.07441185,0.1084536,3.760254
0.07441185,0.1084536,3.776651
0.07321104,0.1147238,3.793202
0.07321104,0.1147238,3.809785
0.07426713,0.1160832,3.826342
0.07426713,0.1160832,3.842911
0.0724512,0.1180085,3.860399
0.0724512,0.1180085,3.876713
0.07504731,0.1187629,3.892619
0.07504731,0.1187629,3.909318
0.07793339,0.1171567,3.925759
0.07793339,0.1171567,3.942554
0.07521594,0.1258008,3.958891
0.07521594,0.1258008,3.975546
0.07206924,0.121105,3.992027
0.07206924,0.121105,4.008683
0.07593622,0.1197954,4.025126
0.07593622,0.1197954,4.042452
0.07311268,0.1211626,4.058269
0.07311268,0.1211626,4.074857
0.07613789,0.1194011,4.091405
0.07613789,0.1194011,4.107987
0.08962911,0.1200483,4.125327
0.08962911,0.1200483,4.141123
0.0828806,0.1191771,4.15783
0.0828806,0.1191771,4.174258
0.07770292,0.1194252,4.190834
0.07770292,0.1194252,4.207697
0.0854067,0.1237227,4.224302
0.0854067,0.1237227,4.24052
0.09052967,0.1219064,4.257076
0.09052967,0.1219064,4.273651
0.07259221,0.1296171,4.290406
0.07259221,0.1296171,4.306895
0.1316877,0.1463647,4.323354
0.1316877,0.1463647,4.339929
0.1387204,0.1487889,4.356477
0.1387204,0.1487889,4.373363
0.1522981,0.1520263,4.389637
0.1522981,0.1520263,4.406191
0.1533075,0.148042,4.422725
0.1533075,0.148042,4.439354
0.1545444,0.1509684,4.457214
0.1545444,0.1509684,4.473245
0.1571114,0.1472592,4.489212
0.1571114,0.1472592,4.505585
0.159599,0.1474478,4.522167
0.159599,0.1474478,4.538878
0.1561747,0.1676562,4.555505
0.1561747,0.1676562,4.571858
0.1516596,0.1630421,4.588422
0.1516596,0.1630421,4.605014
0.1444464,0.1589787,4.621539
0.1444464,0.1589787,4.638186
0.1441068,0.1569194,4.654745
